,Zipcode,FoodStamp,WithHealthCoverage,WithPrivateInsurance,Withpubliccoverage,Nohealthinsurancecoverage,BelowPovertyLevel
6292,18512,8.9,92.6,86.9,7.1,7.4,3.2
6293,18517,14.7,85.8,82.6,5.9,14.2,5.9
6294,18518,14.4,92.8,86.1,8.4,7.2,4.6
6295,18519,14.1,87.8,84.7,6.5,12.2,3.9
6296,18602,5.0,98.5,96.9,7.7,1.5,8.6
6297,18603,13.5,87.1,83.9,5.6,12.9,2.7
6298,18610,17.1,85.8,81.0,8.0,14.2,8.1
6299,18612,4.2,91.3,89.8,3.3,8.7,1.5
6300,18614,12.9,82.3,78.2,6.9,17.7,3.2
6301,18615,4.4,92.9,90.3,5.3,7.1,3.6
6302,18616,7.7,84.3,80.1,5.8,15.7,3.6
6303,18617,34.9,88.2,74.4,13.8,11.8,15.5
6304,18618,9.8,87.9,81.2,7.9,12.1,5.1
6305,18619,3.6,90.3,88.9,1.4,9.7,37.9
6306,18621,11.8,88.3,85.3,5.9,11.7,2.5
6307,18622,21.3,86.7,62.7,24.1,13.3,21.5
6308,18623,11.4,85.9,82.2,4.5,14.1,4.0
6309,18624,0.0,87.5,82.7,7.0,12.5,11.4
6310,18625,3.9,94.4,91.5,2.8,5.6,15.8
6311,18626,5.0,95.4,95.4,2.8,4.6,5.9
6312,18628,22.3,75.7,58.1,17.6,24.3,26.3
6313,18629,12.5,92.1,86.5,7.2,7.9,3.1
6314,18630,8.6,85.0,82.6,4.5,15.0,3.2
6315,18631,11.4,87.6,80.4,8.1,12.4,2.3
6316,18632,4.1,91.9,89.2,7.4,8.1,11.8
6317,18634,19.5,87.5,79.8,11.2,12.5,3.8
6318,18635,9.2,88.6,84.6,6.3,11.4,2.8
6319,18636,9.4,83.0,78.4,7.8,17.0,4.0
6320,18640,17.6,89.1,85.5,5.2,10.9,2.7
6321,18641,12.3,93.0,91.1,4.8,7.0,5.8
6322,18642,11.4,93.2,89.7,6.8,6.8,5.0
6323,22182,3.8,95.1,94.0,2.0,4.9,1.0
6324,22185,9999999.99,9999999.99,9999999.99,9999999.99,9999999.99,9999999.99
6325,22191,8.0,75.4,73.1,5.6,24.6,1.6
6326,22192,4.6,87.9,86.5,4.0,12.1,1.2
6327,22193,8.5,84.0,81.7,4.9,16.0,1.4
6328,22201,1.8,95.0,94.8,0.9,5.0,2.2
6329,22202,1.7,95.4,95.1,2.1,4.6,1.6
6330,22203,4.8,87.3,87.2,1.8,12.7,3.3
6331,22204,7.7,78.3,77.2,3.5,21.7,2.8
6332,22205,2.3,91.1,90.5,1.9,8.9,1.5
6333,22206,3.9,94.0,92.4,2.6,6.0,4.1
6334,22207,1.2,94.9,94.9,1.4,5.1,0.6
6335,22209,1.8,88.0,88.0,0.9,12.0,6.0
