,Zipcode,FoodStamp,WithHealthCoverage,WithPrivateInsurance,Withpubliccoverage,Nohealthinsurancecoverage,BelowPovertyLevel
0,00601,52.5,80.3,43.2,37.9,19.7,4.0
1,00602,43.0,90.3,51.3,41.6,9.7,2.8
2,00603,43.1,90.5,61.9,31.3,9.5,2.9
3,00606,53.3,94.3,59.3,37.6,5.7,5.9
4,00610,43.4,94.8,61.6,35.4,5.2,4.0
5,00612,44.0,88.1,65.0,25.1,11.9,2.3
6,00616,49.9,84.9,55.9,30.7,15.1,6.1
7,00617,42.7,88.0,65.0,26.5,12.0,4.6
8,00622,38.2,100.0,65.4,37.2,0.0,8.4
9,00623,33.9,92.5,68.7,25.8,7.5,3.3
10,00624,50.6,92.2,55.4,39.5,7.8,4.2
11,00627,44.3,91.0,54.4,38.4,9.0,3.2
12,00631,66.3,84.0,33.1,52.9,16.0,13.7
13,00637,42.2,93.2,66.4,30.3,6.8,4.3
14,00638,57.3,90.0,50.4,42.6,10.0,4.5
15,00641,52.0,82.4,42.6,40.7,17.6,3.4
16,00646,29.6,91.4,73.9,19.5,8.6,3.1
17,00647,48.4,87.0,61.1,29.4,13.0,8.8
18,00650,44.7,87.9,53.0,37.2,12.1,5.6
19,00652,41.5,92.0,77.7,16.2,8.0,10.5
20,00653,54.2,91.3,45.3,49.3,8.7,4.2
21,00656,48.7,92.9,63.1,32.1,7.1,3.4
22,00659,43.5,89.7,58.0,33.3,10.3,3.2
23,00660,35.8,91.7,68.3,27.0,8.3,4.0
24,00662,40.8,88.3,56.6,32.6,11.7,3.4
25,00664,51.2,97.8,53.1,46.5,2.2,6.0
26,00667,46.2,94.0,59.2,36.9,6.0,3.7
27,00669,53.5,77.1,41.7,37.7,22.9,3.2
28,00670,45.7,94.0,54.4,40.5,6.0,5.6
29,00674,38.7,86.8,64.0,25.0,13.2,2.7
30,00676,49.6,91.9,53.2,41.7,8.1,3.5
31,00677,38.5,94.1,51.9,45.2,5.9,4.9
32,00678,48.4,92.2,49.4,45.2,7.8,4.5
33,00680,39.6,88.7,57.2,34.4,11.3,2.8
34,00682,37.3,88.9,67.5,24.3,11.1,3.4
35,00683,40.9,93.4,60.2,35.1,6.6,3.2
36,00685,50.5,89.9,42.3,49.2,10.1,2.8
37,00687,50.7,92.3,53.0,41.1,7.7,4.3
38,00688,48.5,86.9,53.4,34.6,13.1,5.0
39,00690,34.6,94.6,66.2,29.7,5.4,8.2
40,00692,40.9,88.4,62.8,27.9,11.6,3.3
41,00693,37.0,88.6,67.8,22.2,11.4,2.5
42,00694,16.5,100.0,100.0,0.0,0.0,62.5
43,00698,46.2,92.0,57.8,36.5,8.0,2.9
44,00703,49.9,89.7,51.1,42.0,10.3,4.3
45,00704,48.4,92.6,43.7,50.8,7.4,7.7
46,00705,50.8,94.9,65.8,31.0,5.1,4.1
47,00707,44.0,92.3,49.3,44.4,7.7,5.8
48,00714,44.3,92.7,53.5,42.6,7.3,5.3
49,00715,53.5,93.1,59.0,35.5,6.9,10.2
50,00716,40.2,88.5,64.0,27.4,11.5,3.1
51,00717,49.7,90.3,53.0,38.4,9.7,4.0
52,00718,46.8,91.1,56.1,35.8,8.9,4.6
53,00719,53.0,88.9,62.9,26.7,11.1,3.8
54,00720,54.4,93.3,49.2,47.4,6.7,4.1
55,00723,49.1,92.1,54.5,40.1,7.9,4.9
56,00725,36.3,88.0,62.1,27.1,12.0,1.8
57,00727,25.3,89.3,72.1,18.4,10.7,2.3
58,00728,41.3,89.0,57.1,34.2,11.0,2.8
59,00729,36.8,84.8,63.7,22.6,15.2,2.7
60,00730,47.7,90.8,58.1,34.8,9.2,3.1
61,00731,49.7,89.7,55.9,35.8,10.3,4.3
62,00735,36.9,89.4,60.0,30.7,10.6,5.7
63,00736,35.2,87.9,58.6,31.4,12.1,2.8
64,00738,38.1,85.6,64.5,23.6,14.4,3.6
65,00739,38.5,89.2,60.2,31.4,10.8,2.6
66,00740,66.2,89.8,50.9,38.9,10.2,14.3
67,00741,41.5,94.8,57.8,38.6,5.2,7.7
68,00745,39.7,89.2,65.5,25.5,10.8,2.8
69,00751,42.9,87.8,48.8,40.0,12.2,4.2
70,00754,39.8,90.9,59.8,32.8,9.1,3.2
71,00757,44.0,87.8,54.1,35.6,12.2,3.8
72,00765,35.4,88.9,47.5,43.8,11.1,8.7
73,00766,54.5,96.6,51.8,47.7,3.4,3.8
74,00767,51.6,90.1,51.7,39.5,9.9,3.2
75,00769,44.4,90.3,55.1,37.2,9.7,3.4
76,00771,42.4,87.9,58.8,30.6,12.1,3.8
77,00772,50.0,86.3,52.9,34.1,13.7,3.9
78,00773,42.3,87.4,61.8,28.9,12.6,4.0
79,00775,32.9,84.8,39.0,47.2,15.2,11.9
80,00777,41.2,89.7,65.8,25.9,10.3,2.9
81,00778,26.4,90.1,71.9,19.0,9.9,2.8
82,00780,38.1,90.2,67.8,23.5,9.8,5.4
83,00782,56.1,91.0,49.9,43.9,9.0,4.8
84,00783,51.1,94.5,59.8,35.8,5.5,3.6
85,00784,41.1,91.5,57.0,35.6,8.5,3.1
86,00786,35.6,75.0,75.0,0.0,25.0,30.7
87,00791,39.3,90.1,58.1,33.1,9.9,3.2
88,00794,58.2,95.2,56.2,39.9,4.8,3.7
89,00795,43.7,92.8,61.6,33.0,7.2,2.2
90,00901,26.8,83.5,67.8,17.5,16.5,8.0
91,00906,0.0,32.1,32.1,0.0,67.9,92.0
92,00907,11.2,81.1,68.1,14.5,18.9,4.1
93,00909,29.5,80.5,50.1,32.5,19.5,8.3
94,00911,14.9,79.2,67.4,12.6,20.8,5.4
95,00912,17.5,74.4,55.9,19.7,25.6,6.8
96,00913,58.4,84.2,54.4,29.9,15.8,5.2
97,00915,40.5,67.7,37.7,32.1,32.3,3.2
98,00917,35.5,78.0,53.8,25.8,22.0,4.1
99,00918,25.9,88.8,77.6,12.5,11.2,5.5
100,00920,20.2,78.3,62.4,18.4,21.7,3.6
101,00921,31.6,79.0,63.0,17.6,21.0,3.4
102,00923,39.4,78.2,56.9,23.4,21.8,3.8
103,00924,36.3,84.0,64.0,22.8,16.0,2.7
104,00925,24.4,62.7,42.9,20.4,37.3,9.6
105,00926,18.3,92.0,79.9,13.6,8.0,1.8
106,00927,16.1,90.2,86.0,6.0,9.8,3.6
107,00934,0.0,100.0,100.0,0.0,0.0,43.8
108,00936,9999999.99,9999999.99,9999999.99,9999999.99,9999999.99,9999999.99
109,00949,28.9,88.1,68.1,22.7,11.9,2.0
110,00950,9999999.99,9999999.99,9999999.99,9999999.99,9999999.99,9999999.99
111,00951,100.0,100.0,0.0,100.0,0.0,9999999.99
112,00952,45.1,89.9,50.8,40.0,10.1,5.3
113,00953,29.7,90.0,73.4,18.1,10.0,2.4
114,00956,30.4,87.1,66.5,22.6,12.9,2.1
115,00957,30.7,88.5,71.9,18.8,11.5,2.6
116,00959,25.8,90.1,74.1,18.7,9.9,2.2
117,00960,9999999.99,9999999.99,9999999.99,9999999.99,9999999.99,9999999.99
118,00961,25.3,89.6,73.5,18.6,10.4,2.8
119,00962,47.9,88.5,63.2,27.1,11.5,3.7
120,00965,44.0,82.0,50.3,34.6,18.0,6.3
121,00966,11.2,93.4,87.2,7.0,6.6,3.2
122,00968,6.3,91.1,89.1,4.6,8.9,4.6
123,00969,13.9,90.9,85.5,6.5,9.1,2.2
124,00971,28.5,83.2,65.0,19.1,16.8,4.7
125,00976,24.9,89.9,72.7,19.0,10.1,2.4
126,00979,9.3,88.3,79.7,11.0,11.7,4.0
127,00982,26.2,85.9,70.2,18.8,14.1,3.9
128,00983,29.7,83.2,65.8,19.8,16.8,3.1
129,00985,28.3,83.6,68.9,17.5,16.4,2.9
130,00987,26.6,87.6,74.3,15.5,12.4,2.4
131,01001,9.7,95.3,89.3,8.7,4.7,3.3
132,01002,8.1,96.8,92.3,6.2,3.2,3.3
133,01003,0.0,98.8,97.9,1.8,1.2,88.8
134,01005,6.3,99.5,88.6,14.8,0.5,1.5
135,01007,9.3,99.2,91.0,11.1,0.8,3.3
136,01008,5.3,99.7,94.9,8.3,0.3,4.3
137,01009,4.6,73.2,51.9,21.3,26.8,16.5
138,01010,10.7,99.2,89.5,14.6,0.8,4.7
139,01011,8.2,95.3,86.3,12.8,4.7,3.5
140,01012,2.7,91.3,85.0,6.3,8.7,6.6
141,01013,28.6,94.5,76.9,19.7,5.5,3.6
142,01020,14.8,94.9,82.3,15.9,5.1,2.5
143,01022,3.4,100.0,98.1,3.9,0.0,6.4
144,01026,5.0,93.2,76.7,17.2,6.8,2.7
145,01027,9.4,95.0,86.1,12.3,5.0,2.0
146,01028,8.3,97.0,89.8,9.7,3.0,2.8
147,01029,11.9,98.5,73.6,26.0,1.5,10.7
148,01030,12.8,95.7,92.6,5.9,4.3,3.1
149,01031,12.9,96.2,82.1,16.0,3.8,10.5
150,01032,5.0,95.6,87.9,9.5,4.4,18.7
151,01033,7.0,95.5,90.1,5.8,4.5,2.7
152,01034,5.8,97.0,88.6,11.4,3.0,2.7
153,01035,10.3,96.9,85.8,11.9,3.1,2.9
154,01036,2.1,98.6,94.3,5.7,1.4,2.1
155,01037,2.3,96.2,86.8,11.5,3.8,4.1
156,01038,3.0,95.0,85.8,11.7,5.0,6.0
157,01039,8.6,96.9,85.4,13.6,3.1,6.5
158,01040,35.8,94.6,71.5,24.9,5.4,2.8
159,01050,16.3,94.4,82.4,16.2,5.6,4.6
160,01053,9.9,98.4,95.6,4.6,1.6,8.5
161,01054,8.3,98.5,88.3,13.3,1.5,3.7
162,01056,7.7,97.2,88.7,11.6,2.8,1.8
163,01057,11.0,94.4,88.6,9.7,5.6,2.1
164,01060,13.9,95.7,87.0,11.5,4.3,2.7
165,01062,7.4,98.2,92.2,7.8,1.8,4.3
166,01063,9999999.99,96.5,96.5,0.0,3.5,9999999.99
167,01066,0.0,9999999.99,9999999.99,9999999.99,9999999.99,9999999.99
168,01068,6.1,97.0,93.2,7.6,3.0,1.8
169,01069,16.2,93.6,84.6,12.2,6.4,2.2
170,01070,10.5,96.6,79.8,26.6,3.4,5.2
171,01071,3.6,94.5,91.4,5.2,5.5,1.4
172,01072,5.2,96.7,87.9,10.7,3.3,2.7
173,01073,6.0,98.2,88.6,12.6,1.8,3.0
174,01074,0.0,74.4,54.2,20.2,25.6,34.6
175,01075,7.7,94.8,91.1,5.7,5.2,2.0
176,01077,3.2,95.1,87.5,10.2,4.9,1.6
177,01079,12.9,82.7,75.5,7.2,17.3,13.4
178,01080,21.4,95.4,88.9,12.5,4.6,14.5
179,01081,12.3,91.4,87.6,7.0,8.6,3.3
180,01082,14.5,95.9,85.2,13.8,4.1,4.2
181,01083,13.6,98.2,80.4,20.9,1.8,7.9
182,01084,0.0,94.8,70.8,30.2,5.2,37.6
183,01085,15.5,95.7,84.1,15.0,4.3,1.9
184,01086,9999999.99,100.0,100.0,6.1,0.0,9999999.99
185,01088,16.8,81.2,81.2,0.0,18.8,36.0
186,01089,17.1,95.0,78.3,19.0,5.0,2.7
187,01092,14.3,100.0,86.8,13.2,0.0,21.8
188,01093,0.0,100.0,91.1,8.9,0.0,34.6
189,01094,14.3,100.0,100.0,7.0,0.0,38.5
190,01095,6.4,96.5,92.6,6.4,3.5,1.1
191,01096,6.7,97.6,88.4,13.1,2.4,3.1
192,01097,21.4,100.0,33.3,66.7,0.0,88.8
193,01098,6.9,94.2,85.0,11.7,5.8,1.3
194,01103,50.5,90.2,57.3,41.2,9.8,12.9
195,01104,40.4,93.5,66.5,31.3,6.5,4.4
196,01105,62.5,78.3,31.5,49.0,21.7,6.5
197,01106,2.7,98.2,96.8,3.4,1.8,1.9
198,01107,59.9,81.1,50.9,37.9,18.9,6.6
199,01108,37.8,89.2,65.1,29.4,10.8,4.3
200,01109,38.3,88.9,62.8,29.2,11.1,3.7
201,01118,17.5,96.9,85.7,12.8,3.1,2.7
202,01119,20.6,92.2,80.6,14.2,7.8,3.6
203,01128,9.7,97.5,86.3,17.9,2.5,1.7
204,01129,15.5,98.5,89.6,12.7,1.5,5.1
205,01151,39.9,93.1,63.3,36.2,6.9,7.3
206,01199,9999999.99,9999999.99,9999999.99,9999999.99,9999999.99,9999999.99
207,01201,19.3,97.1,78.9,21.8,2.9,2.2
208,01220,17.9,95.3,78.1,21.0,4.7,3.8
209,01222,2.2,95.6,81.5,14.1,4.4,14.9
210,01223,7.9,95.0,85.1,11.0,5.0,2.1
211,01224,7.9,100.0,94.3,5.7,0.0,44.0
212,01225,10.9,97.9,85.7,15.2,2.1,4.9
213,01226,14.3,99.0,81.0,24.7,1.0,5.2
214,01229,10.3,100.0,100.0,0.0,0.0,53.6
215,01230,9.7,87.4,69.4,21.8,12.6,2.8
216,01235,4.5,97.4,90.0,12.3,2.6,2.0
217,01236,4.7,92.9,68.6,30.5,7.1,5.4
218,01237,8.7,97.7,90.0,8.6,2.3,0.4
219,01238,8.5,95.3,86.4,10.6,4.7,3.8
220,01240,8.3,95.3,83.2,15.3,4.7,6.2
221,01242,11.3,100.0,99.0,1.0,0.0,42.3
222,01243,1.7,92.0,77.5,16.4,8.0,8.1
223,01244,4.3,88.5,88.5,12.8,11.5,51.3
224,01245,3.7,98.8,79.5,23.1,1.2,4.8
225,01247,20.3,95.6,78.5,21.1,4.4,3.8
226,01253,12.3,98.6,86.2,19.8,1.4,3.2
227,01254,4.4,98.5,96.6,3.9,1.5,1.8
228,01255,8.9,95.6,80.6,17.4,4.4,3.3
229,01256,10.3,98.8,93.0,8.5,1.2,3.5
230,01257,4.9,99.3,76.3,27.0,0.7,7.4
231,01258,1.7,98.1,75.0,26.9,1.9,5.2
232,01259,2.0,80.7,70.8,12.7,19.3,3.9
233,01260,10.9,78.1,78.1,30.1,21.9,49.9
234,01262,7.2,92.8,82.1,15.2,7.2,4.5
235,01264,3.1,88.1,83.3,9.5,11.9,50.6
236,01266,9.7,95.7,85.7,16.0,4.3,4.2
237,01267,7.3,97.7,92.2,7.9,2.3,1.8
238,01270,9.4,91.3,81.0,11.2,8.7,2.8
239,01301,19.7,94.2,79.6,19.0,5.8,2.9
240,01330,7.5,95.2,84.9,16.9,4.8,3.1
241,01331,19.0,94.5,81.2,17.4,5.5,4.4
242,01337,7.0,94.5,87.2,11.0,5.5,2.0
243,01338,13.6,96.2,92.4,12.1,3.8,42.3
244,01339,8.0,94.2,78.9,18.2,5.8,4.8
245,01340,12.1,90.4,75.6,19.9,9.6,4.4
246,01341,3.6,97.5,88.0,13.0,2.5,1.5
247,01342,6.6,93.3,88.0,7.4,6.7,9.0
248,01343,15.8,90.0,76.7,23.3,10.0,58.2
249,01344,10.5,97.5,89.1,12.1,2.5,3.5
250,01346,12.1,94.8,84.9,11.8,5.2,5.0
251,01347,0.0,90.9,81.8,9.1,9.1,58.2
252,01349,12.5,99.1,98.0,9.6,0.9,7.8
253,01350,19.7,90.8,80.0,10.8,9.2,21.6
254,01351,6.2,99.4,92.8,12.5,0.6,5.3
255,01354,4.8,98.9,93.5,8.5,1.1,2.5
256,01355,7.8,96.3,90.2,10.6,3.7,2.7
257,01360,10.8,97.5,88.7,13.5,2.5,2.1
258,01364,21.4,95.3,79.8,20.6,4.7,4.1
259,01366,2.9,97.7,91.9,5.8,2.3,1.8
260,01367,17.5,92.8,69.9,26.9,7.2,5.3
261,01368,10.5,90.4,81.6,12.8,9.6,4.4
262,01370,13.8,94.9,82.5,15.8,5.1,3.6
263,01373,10.8,96.5,88.0,14.0,3.5,3.8
264,01375,5.3,96.8,89.2,11.5,3.2,5.3
265,01376,26.9,91.2,76.3,19.5,8.8,8.5
266,01378,7.1,99.4,93.7,14.8,0.6,7.4
267,01379,16.6,96.7,73.1,28.8,3.3,7.7
268,01420,22.7,94.7,79.9,17.9,5.3,3.1
269,01430,1.6,97.5,95.8,8.0,2.5,3.9
270,01431,4.4,96.1,87.8,10.5,3.9,3.0
271,01432,8.0,96.1,90.1,8.2,3.9,4.8
272,01434,0.0,92.2,82.8,9.4,7.8,31.4
273,01436,9.2,99.5,86.9,12.6,0.5,6.1
274,01438,0.0,100.0,100.0,0.0,0.0,37.7
275,01440,20.5,96.5,82.1,18.7,3.5,3.4
276,01450,1.5,99.0,97.1,4.2,1.0,1.9
277,01451,2.7,98.7,92.8,7.0,1.3,5.6
278,01452,6.5,97.5,94.0,5.9,2.5,3.5
279,01453,11.7,92.9,81.4,14.4,7.1,2.1
280,01460,5.1,98.4,93.5,5.5,1.6,1.9
281,01462,5.0,97.3,92.6,5.9,2.7,4.7
282,01463,8.0,94.7,89.0,7.8,5.3,2.0
283,01464,12.0,96.8,85.7,14.1,3.2,7.9
284,01467,0.0,100.0,100.0,0.0,0.0,26.9
285,01468,6.6,94.4,91.2,5.3,5.6,7.0
286,01469,8.4,96.7,89.8,8.7,3.3,2.9
287,01473,2.7,99.0,96.2,5.0,1.0,1.6
288,01474,4.6,96.0,94.4,3.9,4.0,3.4
289,01475,16.3,98.6,87.6,17.3,1.4,4.4
290,01501,5.4,96.7,91.1,8.3,3.3,1.2
291,01503,3.3,97.3,89.3,8.9,2.7,2.0
292,01504,5.1,97.2,89.7,8.9,2.8,1.4
293,01505,4.5,97.6,96.2,3.4,2.4,0.9
294,01506,6.4,94.5,86.2,10.5,5.5,2.8
295,01507,5.7,98.0,93.1,6.0,2.0,2.1
296,01510,10.8,95.1,83.3,14.1,4.9,3.0
297,01515,3.7,97.9,92.0,8.0,2.1,2.5
298,01516,9.1,98.6,96.7,4.2,1.4,2.3
299,01518,9.0,99.0,87.5,14.5,1.0,6.5
300,01519,5.9,98.6,93.3,6.7,1.4,3.4
301,01520,3.6,98.6,93.4,6.7,1.4,0.9
302,01521,7.9,94.6,86.9,10.0,5.4,2.6
303,01522,2.0,100.0,97.9,3.3,0.0,0.9
304,01523,3.4,95.5,88.8,7.5,4.5,7.1
305,01524,10.3,97.1,90.8,8.1,2.9,3.8
306,01525,0.0,100.0,100.0,0.0,0.0,53.6
307,01527,8.0,95.0,92.6,4.6,5.0,3.0
308,01529,9.6,96.6,91.2,8.4,3.4,4.6
309,01531,6.1,96.1,88.8,7.7,3.9,1.6
310,01532,4.8,97.8,93.9,6.7,2.2,1.6
311,01534,9.1,98.9,92.1,7.9,1.1,3.4
312,01535,9.8,98.9,92.7,11.4,1.1,4.0
313,01536,5.3,95.6,89.5,8.9,4.4,2.9
314,01537,11.1,99.9,87.9,13.2,0.1,14.0
315,01540,11.6,95.7,86.9,12.7,4.3,1.6
316,01541,0.0,100.0,92.4,7.6,0.0,2.5
317,01542,0.0,100.0,95.1,4.9,0.0,3.2
318,01543,7.0,99.3,97.0,5.7,0.7,1.3
319,01545,4.7,97.8,92.8,6.0,2.2,0.9
320,01550,30.7,95.2,76.1,22.4,4.8,3.6
321,01560,10.9,96.7,89.4,8.2,3.3,4.5
322,01561,0.0,100.0,36.9,63.1,0.0,67.2
323,01562,10.8,96.6,90.3,9.9,3.4,3.9
324,01564,6.3,98.1,89.2,9.5,1.9,3.2
325,01566,5.7,99.1,92.5,8.1,0.9,4.2
326,01568,6.0,97.8,94.8,3.5,2.2,3.2
327,01569,4.5,96.2,90.6,7.5,3.8,2.8
328,01570,19.9,94.7,82.3,15.3,5.3,3.2
329,01571,7.7,96.7,90.4,7.8,3.3,5.1
330,01581,4.0,95.3,92.0,6.3,4.7,2.3
331,01583,4.4,98.2,93.5,6.1,1.8,2.1
332,01585,5.4,97.6,90.1,9.2,2.4,4.1
333,01588,10.6,95.9,87.0,14.3,4.1,4.0
334,01590,6.9,100.0,98.0,3.2,0.0,2.7
335,01602,11.6,97.2,86.8,12.9,2.8,2.6
336,01603,28.8,95.9,79.5,19.7,4.1,4.5
337,01604,20.0,96.0,80.3,18.0,4.0,2.5
338,01605,30.7,91.6,70.5,23.9,8.4,3.7
339,01606,7.9,96.7,87.7,13.4,3.3,2.9
340,01607,23.5,94.2,79.5,17.9,5.8,6.5
341,01608,48.6,89.0,56.0,37.3,11.0,12.5
342,01609,20.5,95.1,81.5,15.2,4.9,4.2
343,01610,37.5,90.1,63.0,30.5,9.9,4.4
344,01611,18.7,99.3,78.0,24.7,0.7,5.7
345,01612,3.9,98.0,97.8,1.6,2.0,3.0
346,01701,4.8,94.7,87.6,9.7,5.3,1.6
347,01702,15.5,88.1,71.9,18.5,11.9,2.9
348,01718,0.0,100.0,100.0,0.0,0.0,29.4
349,01719,2.0,95.6,93.0,4.1,4.4,2.7
350,01720,3.7,96.4,93.7,5.9,3.6,0.8
351,01721,2.6,97.1,94.3,3.8,2.9,1.7
352,01730,4.3,98.5,94.1,5.6,1.5,2.1
353,01731,2.8,100.0,100.0,14.8,0.0,4.4
354,01740,1.8,98.3,92.7,5.9,1.7,1.7
355,01741,1.4,99.0,95.8,4.5,1.0,3.6
356,01742,1.1,98.1,95.8,3.3,1.9,2.1
357,01745,6.2,100.0,93.8,19.2,0.0,25.8
358,01746,4.5,98.1,95.5,4.6,1.9,2.4
359,01747,4.9,100.0,96.6,4.1,0.0,1.7
360,01748,2.2,97.9,94.5,4.0,2.1,0.8
361,01749,6.6,94.7,89.4,8.2,5.3,2.2
362,01752,7.8,93.6,81.3,15.0,6.4,1.7
363,01754,5.4,96.1,87.1,9.7,3.9,5.2
364,01756,3.3,98.4,95.6,4.5,1.6,1.2
365,01757,8.6,92.9,82.7,11.6,7.1,2.9
366,01760,3.9,97.9,94.5,5.5,2.1,0.8
367,01770,0.7,96.6,95.7,2.6,3.4,1.9
368,01772,2.5,98.2,97.4,2.1,1.8,1.7
369,01773,0.6,94.0,88.9,8.2,6.0,2.6
370,01775,3.5,98.4,93.7,7.4,1.6,1.7
371,01776,1.5,99.4,97.1,3.4,0.6,1.0
372,01778,2.0,99.2,96.3,4.2,0.8,1.4
373,01801,7.4,95.3,87.3,9.3,4.7,1.7
374,01803,4.9,96.4,90.5,8.6,3.6,1.9
375,01810,5.3,98.2,95.8,3.9,1.8,1.3
376,01821,4.4,96.7,92.5,8.2,3.3,1.4
377,01824,3.6,97.4,94.5,5.0,2.6,1.1
378,01826,7.1,97.6,89.6,10.6,2.4,1.6
379,01827,0.0,96.7,93.9,4.0,3.3,0.8
380,01830,17.1,93.7,79.8,17.6,6.3,3.2
381,01832,16.3,93.9,82.3,15.1,6.1,2.4
382,01833,2.6,98.2,93.6,5.9,1.8,1.9
383,01834,1.4,96.6,90.3,7.6,3.4,2.5
384,01835,6.1,97.6,93.7,6.1,2.4,3.1
385,01840,52.6,87.8,57.8,34.1,12.2,8.0
386,01841,45.7,85.5,49.0,38.7,14.5,3.2
387,01843,30.0,90.4,62.6,31.1,9.6,4.0
388,01844,11.0,95.8,87.3,10.4,4.2,1.6
389,01845,4.5,95.6,92.9,5.0,4.4,1.6
390,01850,23.8,90.5,70.2,21.7,9.5,4.7
391,01851,19.5,92.5,76.6,20.2,7.5,3.1
392,01852,21.5,91.6,76.6,18.9,8.4,3.1
393,01854,24.2,92.4,78.5,16.5,7.6,3.0
394,01860,4.9,96.6,94.8,4.2,3.4,3.7
395,01862,2.7,96.7,93.3,4.6,3.3,2.3
396,01863,4.2,98.3,94.3,6.0,1.7,0.5
397,01864,3.2,98.3,95.4,4.5,1.7,1.9
398,01867,3.2,98.3,95.1,4.3,1.7,1.3
399,01876,4.3,96.8,94.2,4.3,3.2,1.3
400,01879,4.4,97.3,92.9,5.4,2.7,3.6
401,01880,6.9,98.6,95.0,5.5,1.4,1.0
402,01886,2.2,98.0,96.4,2.0,2.0,1.2
403,01887,6.3,98.1,92.8,6.9,1.9,1.4
404,01890,1.6,99.2,97.5,2.8,0.8,1.1
405,01901,45.3,96.7,61.1,35.5,3.3,15.4
406,01902,34.6,89.0,59.9,31.4,11.0,2.6
407,01904,9.7,98.2,90.3,11.7,1.8,2.5
408,01905,27.4,88.9,64.5,26.6,11.1,3.1
409,01906,8.5,96.6,89.7,9.0,3.4,1.6
410,01907,6.1,96.7,93.2,4.7,3.3,2.2
411,01908,6.7,96.3,93.1,3.6,3.7,1.9
412,01913,5.1,94.6,85.2,12.9,5.4,1.3
413,01915,10.1,95.7,89.1,8.3,4.3,1.9
414,01921,1.9,97.1,91.8,7.0,2.9,3.5
415,01922,3.1,94.0,86.2,7.8,6.0,4.9
416,01923,6.2,97.3,91.5,8.3,2.7,1.3
417,01929,4.9,90.7,87.1,3.9,9.3,1.4
418,01930,8.3,95.2,82.6,16.8,4.8,1.9
419,02557,2.2,92.0,80.4,11.6,8.0,7.1
420,02558,19.7,100.0,84.1,15.9,0.0,26.6
421,02559,5.3,96.1,90.1,7.1,3.9,4.6
422,02561,0.0,60.9,60.9,0.0,39.1,32.0
423,02562,1.9,96.1,89.1,8.9,3.9,5.7
424,02563,5.5,97.8,93.5,6.5,2.2,2.0
425,02564,0.0,100.0,100.0,17.5,0.0,42.3
426,02568,2.8,87.8,79.7,9.1,12.2,11.2
427,02571,12.4,93.7,79.3,15.5,6.3,3.6
428,02575,0.0,86.8,81.1,19.7,13.2,4.4
429,02576,7.5,95.5,87.7,8.3,4.5,7.1
430,02584,0.0,9999999.99,9999999.99,9999999.99,9999999.99,9999999.99
431,02601,27.5,79.2,57.3,26.0,20.8,5.5
432,02630,4.0,100.0,93.6,10.6,0.0,10.3
433,02631,6.0,91.4,84.7,10.7,8.6,1.8
434,02632,4.3,93.3,77.9,18.3,6.7,3.2
435,02633,5.1,87.3,77.5,11.7,12.7,4.9
436,02635,5.0,94.8,92.3,5.6,5.2,1.6
437,02637,0.0,100.0,50.0,50.0,0.0,92.8
438,02638,5.6,82.0,81.3,3.6,18.0,7.3
439,02639,18.8,93.8,69.6,32.1,6.2,13.6
440,02641,0.0,9999999.99,9999999.99,9999999.99,9999999.99,32.7
441,02642,2.1,94.1,84.7,12.7,5.9,2.3
442,02643,0.0,100.0,100.0,0.0,0.0,9999999.99
443,02644,3.7,98.2,91.5,10.2,1.8,3.2
444,02645,3.7,93.6,79.0,16.6,6.4,2.0
445,02646,4.5,100.0,91.3,8.7,0.0,6.8
446,02647,17.5,100.0,100.0,0.0,0.0,44.4
447,02648,4.3,91.4,86.0,9.9,8.6,2.2
448,02649,7.4,94.1,81.9,15.9,5.9,2.8
449,02650,0.0,95.0,95.0,7.7,5.0,4.2
450,02651,0.0,9999999.99,9999999.99,9999999.99,9999999.99,79.5
451,02652,4.6,100.0,86.9,14.6,0.0,11.8
452,02653,9.2,96.2,85.4,17.4,3.8,2.4
453,02655,2.7,97.9,88.2,9.7,2.1,3.4
454,02657,12.1,94.7,71.8,32.1,5.3,5.9
455,02659,3.1,100.0,97.1,8.0,0.0,14.4
456,02660,10.2,88.4,74.9,14.8,11.6,5.4
457,02663,0.0,100.0,100.0,0.0,0.0,52.8
458,02664,12.2,89.2,76.7,16.3,10.8,4.2
459,02666,3.4,76.5,53.3,30.1,23.5,15.8
460,02667,16.2,92.4,63.5,35.4,7.6,9.9
461,02668,0.8,97.4,94.4,5.5,2.6,2.5
462,02669,0.0,82.4,52.9,29.4,17.6,38.2
463,02670,9.2,100.0,79.4,20.6,0.0,6.2
464,02671,11.0,96.0,96.0,0.0,4.0,17.7
465,02672,0.0,90.6,90.6,0.0,9.4,58.2
466,02673,7.9,92.3,82.5,13.1,7.7,3.8
467,02675,1.5,85.6,77.1,11.6,14.4,2.1
468,02702,10.5,92.5,79.7,16.2,7.5,3.3
469,02703,12.9,95.5,86.6,11.5,4.5,1.6
470,02713,9.4,100.0,91.9,8.1,0.0,18.1
471,02715,9.7,99.1,89.9,12.9,0.9,5.1
472,02717,6.3,97.4,87.5,12.6,2.6,2.2
473,02718,6.4,99.2,90.6,13.0,0.8,2.9
474,02719,9.0,94.5,86.1,10.9,5.5,2.8
475,02720,21.7,93.7,78.4,17.3,6.3,3.0
476,02721,31.5,90.7,72.3,21.2,9.3,3.9
