Zipcode,MedianIncome
ZCTA5 00715,18609.00
ZCTA5 00716,11692.00
ZCTA5 00717,18247.00
ZCTA5 00718,17592.00
ZCTA5 00719,14578.00
ZCTA5 00720,14343.00
ZCTA5 00723,20704.00
ZCTA5 00725,29304.00
ZCTA5 00727,17689.00
ZCTA5 00728,21243.00
ZCTA5 00729,15459.00
ZCTA5 00730,15894.00
ZCTA5 00731,20450.00
ZCTA5 00735,21023.00
ZCTA5 00736,20917.00
ZCTA5 00738,23629.00
ZCTA5 00739,13077.00
ZCTA5 00740,19237.00
ZCTA5 00741,22694.00
ZCTA5 00745,14236.00
ZCTA5 00751,17192.00
ZCTA5 00754,16344.00
ZCTA5 00757,18297.00
ZCTA5 00765,17210.00
ZCTA5 00766,16664.00
ZCTA5 00767,18053.00
ZCTA5 00769,19869.00
ZCTA5 00771,16118.00
ZCTA5 00772,18256.00
ZCTA5 00773,18167.00
ZCTA5 00775,19398.00
ZCTA5 00777,27872.00
ZCTA5 00778,22197.00
ZCTA5 00780,13472.00
ZCTA5 00782,16860.00
ZCTA5 00783,17048.00
ZCTA5 00784,21167.00
ZCTA5 00786,20357.00
ZCTA5 00791,14998.00
ZCTA5 00794,18890.00
ZCTA5 00795,17256.00
ZCTA5 00901,33056.00
ZCTA5 00906,30994.00
ZCTA5 00907,16309.00
ZCTA5 00909,28132.00
ZCTA5 00911,19781.00
ZCTA5 00912,6809.00
ZCTA5 00913,13773.00
ZCTA5 00915,15458.00
ZCTA5 00917,24712.00
ZCTA5 00918,26157.00
ZCTA5 00920,19263.00
ZCTA5 00921,15633.00
ZCTA5 00923,19142.00
ZCTA5 00924,11794.00
ZCTA5 00925,35140.00
ZCTA5 00926,33758.00
ZCTA5 00927,83264.00
ZCTA5 00934,
ZCTA5 00936,24961.00
ZCTA5 00949,
ZCTA5 00950,
ZCTA5 00951,18499.00
ZCTA5 00952,29406.00
ZCTA5 00953,23125.00
ZCTA5 00956,23643.00
ZCTA5 00957,26754.00
ZCTA5 00959,
ZCTA5 00960,29169.00
ZCTA5 00961,16289.00
ZCTA5 00962,16135.00
ZCTA5 00965,53052.00
ZCTA5 00966,42036.00
ZCTA5 00968,51285.00
ZCTA5 00969,23338.00
ZCTA5 00971,29736.00
ZCTA5 00976,38187.00
ZCTA5 00979,26370.00
ZCTA5 00982,27834.00
ZCTA5 00983,24514.00
ZCTA5 00985,31599.00
ZCTA5 00987,60775.00
ZCTA5 01001,55082.00
ZCTA5 01002,
ZCTA5 01003,68361.00
ZCTA5 01005,74221.00
ZCTA5 01007,71979.00
ZCTA5 01008,40929.00
ZCTA5 01009,82365.00
ZCTA5 01010,65324.00
ZCTA5 01011,56146.00
ZCTA5 01012,41342.00
ZCTA5 01013,52236.00
ZCTA5 01020,60353.00
ZCTA5 01022,51213.00
ZCTA5 01026,58551.00
ZCTA5 01027,84173.00
ZCTA5 01028,52566.00
ZCTA5 01029,68326.00
ZCTA5 01030,43583.00
ZCTA5 01031,65000.00
ZCTA5 01032,79647.00
ZCTA5 01033,77448.00
ZCTA5 01034,74737.00
ZCTA5 01035,79639.00
ZCTA5 01036,91471.00
ZCTA5 01037,65536.00
ZCTA5 01038,68500.00
ZCTA5 01039,35550.00
ZCTA5 01040,52813.00
ZCTA5 01050,59850.00
ZCTA5 01053,78125.00
ZCTA5 01054,61410.00
ZCTA5 01056,66343.00
ZCTA5 01057,53427.00
ZCTA5 01060,64727.00
ZCTA5 01062,
ZCTA5 01063,
ZCTA5 01066,80577.00
ZCTA5 01068,54412.00
ZCTA5 01069,57031.00
ZCTA5 01070,74688.00
ZCTA5 01071,68203.00
ZCTA5 01072,68693.00
ZCTA5 01073,58140.00
ZCTA5 01074,62408.00
ZCTA5 01075,81967.00
ZCTA5 01077,43654.00
ZCTA5 01079,42794.00
ZCTA5 01080,52768.00
ZCTA5 01081,52709.00
ZCTA5 01082,37126.00
ZCTA5 01083,49886.00
ZCTA5 01084,61211.00
ZCTA5 01085,
ZCTA5 01086,41875.00
ZCTA5 01088,52806.00
ZCTA5 01089,48679.00
ZCTA5 01092,82222.00
ZCTA5 01093,19028.00
ZCTA5 01094,86908.00
ZCTA5 01095,70438.00
ZCTA5 01096,40556.00
ZCTA5 01097,71500.00
ZCTA5 01098,13666.00
ZCTA5 01103,29184.00
ZCTA5 01104,17657.00
ZCTA5 01105,106296.00
ZCTA5 01106,22287.00
ZCTA5 01107,35238.00
ZCTA5 01108,32644.00
ZCTA5 01109,65231.00
ZCTA5 01118,47417.00
ZCTA5 01119,74963.00
ZCTA5 01128,62280.00
ZCTA5 01129,34280.00
ZCTA5 01151,
ZCTA5 01199,44120.00
ZCTA5 01201,41950.00
ZCTA5 01220,78080.00
ZCTA5 01222,65033.00
ZCTA5 01223,37112.00
ZCTA5 01224,58007.00
ZCTA5 01225,48320.00
ZCTA5 01226,34250.00
ZCTA5 01229,53180.00
ZCTA5 01230,64507.00
ZCTA5 01235,62917.00
ZCTA5 01236,76346.00
ZCTA5 01237,61492.00
ZCTA5 01238,51396.00
ZCTA5 01240,55333.00
ZCTA5 01242,73750.00
ZCTA5 01243,27639.00
ZCTA5 01244,53833.00
ZCTA5 01245,39636.00
ZCTA5 01247,66250.00
ZCTA5 01253,83750.00
ZCTA5 01254,56250.00
ZCTA5 01255,57222.00
ZCTA5 01256,46917.00
ZCTA5 01257,64250.00
ZCTA5 01258,61500.00
ZCTA5 01259,47250.00
ZCTA5 01260,47250.00
ZCTA5 01262,90625.00
ZCTA5 01264,78333.00
ZCTA5 01266,74167.00
ZCTA5 01267,69444.00
ZCTA5 01270,48612.00
ZCTA5 01301,77411.00
ZCTA5 01330,51002.00
ZCTA5 01331,62037.00
ZCTA5 01337,71691.00
ZCTA5 01338,51908.00
ZCTA5 01339,46210.00
ZCTA5 01340,79286.00
ZCTA5 01341,101863.00
ZCTA5 01342,81667.00
ZCTA5 01343,59722.00
ZCTA5 01344,58906.00
ZCTA5 01346,38000.00
ZCTA5 01347,54727.00
ZCTA5 01349,32083.00
ZCTA5 01350,71587.00
ZCTA5 01351,75776.00
ZCTA5 01354,75000.00
ZCTA5 01355,60721.00
ZCTA5 01360,41994.00
ZCTA5 01364,72917.00
ZCTA5 01366,49792.00
ZCTA5 01367,60568.00
ZCTA5 01368,53300.00
ZCTA5 01370,67465.00
ZCTA5 01373,50417.00
ZCTA5 01375,41250.00
ZCTA5 01376,55278.00
ZCTA5 01378,38750.00
ZCTA5 01379,46628.00
ZCTA5 01420,85662.00
ZCTA5 01430,83917.00
ZCTA5 01431,66630.00
ZCTA5 01432,97222.00
ZCTA5 01434,70313.00
ZCTA5 01436,61803.00
ZCTA5 01438,46464.00
ZCTA5 01440,116686.00
ZCTA5 01450,135357.00
ZCTA5 01451,83438.00
ZCTA5 01452,59248.00
ZCTA5 01453,111652.00
ZCTA5 01460,71055.00
ZCTA5 01462,77767.00
ZCTA5 01463,66453.00
ZCTA5 01464,184107.00
ZCTA5 01467,70455.00
ZCTA5 01468,81024.00
ZCTA5 01469,87273.00
ZCTA5 01473,95587.00
ZCTA5 01474,59332.00
ZCTA5 01475,73105.00
ZCTA5 01501,88681.00
ZCTA5 01503,72699.00
ZCTA5 01504,102422.00
ZCTA5 01505,63889.00
ZCTA5 01506,91287.00
ZCTA5 01507,64867.00
ZCTA5 01510,71020.00
ZCTA5 01515,84390.00
ZCTA5 01516,48676.00
ZCTA5 01518,101205.00
ZCTA5 01519,98979.00
ZCTA5 01520,64868.00
ZCTA5 01521,94531.00
ZCTA5 01522,89808.00
ZCTA5 01523,65225.00
ZCTA5 01524,47238.00
ZCTA5 01525,71676.00
ZCTA5 01527,88281.00
ZCTA5 01529,81136.00
ZCTA5 01531,107111.00
ZCTA5 01532,82950.00
ZCTA5 01534,58438.00
ZCTA5 01535,72292.00
ZCTA5 01536,75183.00
ZCTA5 01537,67126.00
ZCTA5 01540,114688.00
ZCTA5 01541,76979.00
ZCTA5 01542,91033.00
ZCTA5 01543,97617.00
ZCTA5 01545,42376.00
ZCTA5 01550,78250.00
ZCTA5 01560,19597.00
ZCTA5 01561,60943.00
ZCTA5 01562,90455.00
ZCTA5 01564,93776.00
ZCTA5 01566,110781.00
ZCTA5 01568,88125.00
ZCTA5 01569,48650.00
ZCTA5 01570,68053.00
ZCTA5 01571,100552.00
ZCTA5 01581,73474.00
ZCTA5 01583,60521.00
ZCTA5 01585,66591.00
ZCTA5 01588,111788.00
ZCTA5 01590,62888.00
ZCTA5 01602,46367.00
ZCTA5 01603,47865.00
ZCTA5 01604,36497.00
ZCTA5 01605,66411.00
ZCTA5 01606,42397.00
ZCTA5 01607,21412.00
ZCTA5 01608,41647.00
ZCTA5 01609,31136.00
ZCTA5 01610,64598.00
ZCTA5 01611,102614.00
ZCTA5 01612,88498.00
ZCTA5 01701,52428.00
ZCTA5 01702,135179.00
ZCTA5 01718,103996.00
ZCTA5 01719,119342.00
ZCTA5 01720,102721.00
ZCTA5 01721,114676.00
ZCTA5 01730,79063.00
ZCTA5 01731,144461.00
ZCTA5 01740,157500.00
ZCTA5 01741,132736.00
ZCTA5 01742,117955.00
ZCTA5 01745,108350.00
ZCTA5 01746,99886.00
ZCTA5 01747,128267.00
ZCTA5 01748,74082.00
ZCTA5 01749,71424.00
ZCTA5 01752,79252.00
ZCTA5 01754,112104.00
ZCTA5 01756,68784.00
ZCTA5 01757,99172.00
ZCTA5 01760,155564.00
ZCTA5 01770,155952.00
ZCTA5 01772,143897.00
ZCTA5 01773,131500.00
ZCTA5 01775,169505.00
ZCTA5 01776,141083.00
ZCTA5 01778,79034.00
ZCTA5 01801,95465.00
ZCTA5 01803,125321.00
ZCTA5 01810,91605.00
ZCTA5 01821,103411.00
ZCTA5 01824,76879.00
ZCTA5 01826,116125.00
ZCTA5 01827,55237.00
ZCTA5 01830,60351.00
ZCTA5 01832,106898.00
ZCTA5 01833,92898.00
ZCTA5 01834,74156.00
ZCTA5 01835,18140.00
